=== TRAIN オノマトペデータセット合成ログ ===
生成時刻: 2025-10-29 18:30:14
目標画像数: 400
      元サイズ: 1024x1536
      クロップサイズ: 410x1227
      最終サイズ: 53x159
      配置位置: (1451,446)
      スケール: 0.005421
      スケール比: 0.0345
    オノマトペ6: 003.png
      元サイズ: 1536x1024
      クロップサイズ: 1054x404
      最終サイズ: 59x22
      配置位置: (3,532)
      スケール: 0.000859
      スケール比: 0.0384
    オノマトペ7: 041.png
      元サイズ: 1536x1024
      クロップサイズ: 1143x657
      最終サイズ: 52x29
      配置位置: (1102,703)
      スケール: 0.000992
      スケール比: 0.0339
    オノマトペ8: 026.png
      元サイズ: 1024x1024
      クロップサイズ: 818x203
      最終サイズ: 99x24
      配置位置: (1373,201)
      スケール: 0.001574
      スケール比: 0.0645
    オノマトペ9: 007.png
      元サイズ: 1536x1024
      クロップサイズ: 1033x483
      最終サイズ: 43x20
      配置位置: (745,441)
      スケール: 0.000562
      スケール比: 0.0280
    オノマトペ10: 061.png
      元サイズ: 1024x1536
      クロップサイズ: 391x1047
      最終サイズ: 27x72
      配置位置: (143,680)
      スケール: 0.001261
      スケール比: 0.0176
    オノマトペ11: 067.png
      元サイズ: 1024x1024
      クロップサイズ: 837x951
      最終サイズ: 46x52
      配置位置: (676,638)
      スケール: 0.001529
      スケール比: 0.0299
    オノマトペ12: 078.png
      元サイズ: 1024x1024
      クロップサイズ: 348x881
      最終サイズ: 20x52
      配置位置: (642,679)
      スケール: 0.000697
      スケール比: 0.0130
    オノマトペ13: 038.png
      元サイズ: 1536x1024
      クロップサイズ: 1045x526
      最終サイズ: 67x33
      配置位置: (255,737)
      スケール: 0.001454
      スケール比: 0.0436

画像 021.png:
  背景ファイル: 021.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 15
    オノマトペ1: 003.png
      元サイズ: 1536x1024
      クロップサイズ: 1054x404
      最終サイズ: 45x17
      配置位置: (356,630)
      スケール: 0.000500
      スケール比: 0.0293
    オノマトペ2: 054.png
      元サイズ: 1024x1536
      クロップサイズ: 341x1108
      最終サイズ: 24x80
      配置位置: (1165,308)
      スケール: 0.001257
      スケール比: 0.0156
    オノマトペ3: 017.png
      元サイズ: 1024x1024
      クロップサイズ: 906x347
      最終サイズ: 45x17
      配置位置: (831,561)
      スケール: 0.000500
      スケール比: 0.0293
    オノマトペ4: 076.png
      元サイズ: 1024x1024
      クロップサイズ: 367x838
      最終サイズ: 25x58
      配置位置: (0,311)
      スケール: 0.000962
      スケール比: 0.0163
    オノマトペ5: 067.png
      元サイズ: 1024x1024
      クロップサイズ: 837x951
      最終サイズ: 97x110
      配置位置: (587,215)
      スケール: 0.006799
      スケール比: 0.0632
    オノマトペ6: 048.png
      元サイズ: 1024x1536
      クロップサイズ: 378x1050
      最終サイズ: 23x65
      配置位置: (880,804)
      スケール: 0.000976
      スケール比: 0.0150
    オノマトペ7: 025.png
      元サイズ: 1024x1024
      クロップサイズ: 854x174
      最終サイズ: 174x35
      配置位置: (1187,621)
      スケール: 0.003926
      スケール比: 0.1133
    オノマトペ8: 009.png
      元サイズ: 1024x1536
      クロップサイズ: 884x488
      最終サイズ: 90x49
      配置位置: (1340,329)
      スケール: 0.002877
      スケール比: 0.0586
    オノマトペ9: 008.png
      元サイズ: 1024x1536
      クロップサイズ: 860x476
      最終サイズ: 45x25
      配置位置: (952,452)
      スケール: 0.000719
      スケール比: 0.0293
    オノマトペ10: 063.png
      元サイズ: 1024x1536
      クロップサイズ: 414x1159
      最終サイズ: 30x85
      配置位置: (905,691)
      スケール: 0.001664
      スケール比: 0.0195
    オノマトペ11: 021.png
      元サイズ: 1024x1024
      クロップサイズ: 249x910
      最終サイズ: 21x79
      配置位置: (437,523)
      スケール: 0.001106
      スケール比: 0.0137
    オノマトペ12: 002.png
      元サイズ: 1536x1024
      クロップサイズ: 1143x657
      最終サイズ: 95x54
      配置位置: (969,812)
      スケール: 0.003345
      スケール比: 0.0618
    オノマトペ13: 023.png
      元サイズ: 1024x1024
      クロップサイズ: 816x196
      最終サイズ: 80x19
      配置位置: (347,674)
      スケール: 0.000988
      スケール比: 0.0521
    オノマトペ14: 081.png
      元サイズ: 1024x1024
      クロップサイズ: 851x474
      最終サイズ: 109x60
      配置位置: (173,290)
      スケール: 0.004236
      スケール比: 0.0710
    オノマトペ15: 047.png
      元サイズ: 1024x1536
      クロップサイズ: 434x1124
      最終サイズ: 17x45
      配置位置: (1055,679)
      スケール: 0.000505
      スケール比: 0.0111

画像 022.png:
  背景ファイル: 022.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 9
    オノマトペ1: 023.png
      元サイズ: 1024x1024
      クロップサイズ: 816x196
      最終サイズ: 187x45
      配置位置: (94,250)
      スケール: 0.005396
      スケール比: 0.1217
    オノマトペ2: 074.png
      元サイズ: 1024x1024
      クロップサイズ: 448x856
      最終サイズ: 26x51
      配置位置: (973,625)
      スケール: 0.000870
      スケール比: 0.0169
    オノマトペ3: 033.png
      元サイズ: 1024x1024
      クロップサイズ: 800x620
      最終サイズ: 58x45
      配置位置: (149,466)
      スケール: 0.001701
      スケール比: 0.0378
    オノマトペ4: 017.png
      元サイズ: 1024x1024
      クロップサイズ: 906x347
      最終サイズ: 65x24
      配置位置: (848,907)
      スケール: 0.001037
      スケール比: 0.0423
    オノマトペ5: 016.png
      元サイズ: 1024x1024
      クロップサイズ: 281x792
      最終サイズ: 32x91
      配置位置: (1289,589)
      スケール: 0.001884
      スケール比: 0.0208
    オノマトペ6: 022.png
      元サイズ: 1024x1024
      クロップサイズ: 787x197
      最終サイズ: 56x14
      配置位置: (398,735)
      スケール: 0.000500
      スケール比: 0.0365
    オノマトペ7: 021.png
      元サイズ: 1024x1024
      クロップサイズ: 249x910
      最終サイズ: 37x138
      配置位置: (1426,393)
      スケール: 0.003321
      スケール比: 0.0241
    オノマトペ8: 027.png
      元サイズ: 1024x1024
      クロップサイズ: 747x236
      最終サイズ: 77x24
      配置位置: (1012,409)
      スケール: 0.001207
      スケール比: 0.0501
    オノマトペ9: 058.png
      元サイズ: 1024x1536
      クロップサイズ: 362x1026
      最終サイズ: 40x116
      配置位置: (499,151)
      スケール: 0.003026
      スケール比: 0.0260

画像 023.png:
  背景ファイル: 023.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 6
    オノマトペ1: 062.png
      元サイズ: 1024x1536
      クロップサイズ: 454x1089
      最終サイズ: 30x72
      配置位置: (1425,530)
      スケール: 0.001410
      スケール比: 0.0195
    オノマトペ2: 051.png
      元サイズ: 1024x1536
      クロップサイズ: 314x1213
      最終サイズ: 16x65
      配置位置: (951,51)
      スケール: 0.000704
      スケール比: 0.0104
    オノマトペ3: 011.png
      元サイズ: 1024x1024
      クロップサイズ: 787x427
      最終サイズ: 52x28
      配置位置: (1141,255)
      スケール: 0.000940
      スケール比: 0.0339
    オノマトペ4: 042.png
      元サイズ: 1536x1024
      クロップサイズ: 1054x404
      最終サイズ: 82x31
      配置位置: (248,467)
      スケール: 0.001667
      スケール比: 0.0534
    オノマトペ5: 074.png
      元サイズ: 1024x1024
      クロップサイズ: 448x856
      最終サイズ: 20x38
      配置位置: (273,820)
      スケール: 0.000500
      スケール比: 0.0130
    オノマトペ6: 022.png
      元サイズ: 1024x1024
      クロップサイズ: 787x197
      最終サイズ: 137x34
      配置位置: (951,683)
      スケール: 0.003019
      スケール比: 0.0892

画像 024.png:
  背景ファイル: 024.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 11
    オノマトペ1: 039.png
      元サイズ: 1536x1024
      クロップサイズ: 1252x434
      最終サイズ: 79x27
      配置位置: (972,460)
      スケール: 0.001391
      スケール比: 0.0514
    オノマトペ2: 049.png
      元サイズ: 1024x1536
      クロップサイズ: 352x915
      最終サイズ: 18x47
      配置位置: (530,769)
      スケール: 0.000543
      スケール比: 0.0117
    オノマトペ3: 054.png
      元サイズ: 1024x1536
      クロップサイズ: 341x1108
      最終サイズ: 38x125
      配置位置: (506,860)
      スケール: 0.003082
      スケール比: 0.0247
    オノマトペ4: 011.png
      元サイズ: 1024x1024
      クロップサイズ: 787x427
      最終サイズ: 66x36
      配置位置: (1305,283)
      スケール: 0.001523
      スケール比: 0.0430
    オノマトペ5: 045.png
      元サイズ: 1536x1024
      クロップサイズ: 951x500
      最終サイズ: 77x40
      配置位置: (1067,496)
      スケール: 0.001982
      スケール比: 0.0501
    オノマトペ6: 056.png
      元サイズ: 1024x1536
      クロップサイズ: 329x1082
      最終サイズ: 24x80
      配置位置: (1283,244)
      スケール: 0.001250
      スケール比: 0.0156
    オノマトペ7: 008.png
      元サイズ: 1024x1536
      クロップサイズ: 860x476
      最終サイズ: 46x25
      配置位置: (562,450)
      スケール: 0.000772
      スケール比: 0.0299
    オノマトペ8: 042.png
      元サイズ: 1536x1024
      クロップサイズ: 1054x404
      最終サイズ: 172x65
      配置位置: (158,730)
      スケール: 0.007217
      スケール比: 0.1120
    オノマトペ9: 001.png
      元サイズ: 1536x1024
      クロップサイズ: 1233x524
      最終サイズ: 63x27
      配置位置: (585,240)
      スケール: 0.001097
      スケール比: 0.0410
    オノマトペ10: 073.png
      元サイズ: 1024x1024
      クロップサイズ: 500x887
      最終サイズ: 28x50
      配置位置: (556,343)
      スケール: 0.000909
      スケール比: 0.0182
    オノマトペ11: 059.png
      元サイズ: 1024x1536
      クロップサイズ: 453x1037
      最終サイズ: 55x125
      配置位置: (654,553)
      スケール: 0.004407
      スケール比: 0.0358

画像 025.png:
  背景ファイル: 025.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 3
    オノマトペ1: 073.png
      元サイズ: 1024x1024
      クロップサイズ: 500x887
      最終サイズ: 21x37
      配置位置: (473,392)
      スケール: 0.000500
      スケール比: 0.0137
    オノマトペ2: 083.png
      元サイズ: 1024x1024
      クロップサイズ: 773x438
      最終サイズ: 81x45
      配置位置: (1421,156)
      スケール: 0.002371
      スケール比: 0.0527
    オノマトペ3: 013.png
      元サイズ: 1024x1024
      クロップサイズ: 702x473
      最終サイズ: 75x51
      配置位置: (1446,219)
      スケール: 0.002470
      スケール比: 0.0488

画像 026.png:
  背景ファイル: 026.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 15
    オノマトペ1: 063.png
